Mon Jun 02 22:50:18 2014    myapp.profile

         1958925 function calls (1913440 primitive calls) in 46.786 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.090    0.002    0.090    0.002 {method 'acquire' of 'thread.lock' objects}
     5992    0.083    0.000    0.083    0.000 <string>:38(<module>)
      122    0.003    0.000    0.082    0.001 C:\Python27\lib\site-packages\kivy\uix\floatlayout.py:64(__init__)
    23000    0.081    0.000    0.081    0.000 {method 'items' of 'dict' objects}
     3294    0.066    0.000    0.079    0.000 <string>:98(<module>)
     3114    0.064    0.000    0.078    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:28(_get_font_id)
     8941    0.075    0.000    0.075    0.000 {method 'update' of 'dict' objects}
    24946    0.075    0.000    0.075    0.000 {getattr}
     6099    0.074    0.000    0.074    0.000 <string>:32(<module>)
        1    0.006    0.006    0.073    0.073 C:\Python27\lib\site-packages\kivy\input\providers\tuio.py:37(<module>)
      104    0.003    0.000    0.073    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:660(on_touch_move)
      122    0.008    0.000    0.073    0.001 C:\Python27\lib\site-packages\kivy\uix\layout.py:59(__init__)
        3    0.000    0.000    0.073    0.024 C:\Python27\lib\logging\__init__.py:1140(info)
     1766    0.073    0.000    0.073    0.000 {method 'size' of 'pygame.font.Font' objects}
     3230    0.021    0.000    0.072    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:464(_get_text)
     3746    0.046    0.000    0.071    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:163(_trigger_texture_update)
      325    0.007    0.000    0.068    0.000 C:\Python27\lib\site-packages\kivy\uix\floatlayout.py:110(add_widget)
        6    0.067    0.011    0.068    0.011 {method 'gl_dealloc' of 'kivy.graphics.context.Context' objects}
        1    0.004    0.004    0.067    0.067 C:\Python27\lib\site-packages\kivy\lib\osc\__init__.py:7(<module>)
     8941    0.067    0.000    0.067    0.000 {locals}
      527    0.008    0.000    0.066    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:101(_widget_destructor)
      104    0.002    0.000    0.065    0.001 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:998(on_touch_move)
     9685    0.064    0.000    0.064    0.000 C:\Python27\lib\copy.py:113(_copy_with_constructor)
     1348    0.064    0.000    0.064    0.000 {method 'render' of 'pygame.font.Font' objects}
     2328    0.054    0.000    0.063    0.000 C:\Python27\lib\site-packages\kivy\input\providers\mouse.py:224(update)
      571    0.047    0.000    0.062    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:80(do_layout)
       68    0.003    0.000    0.062    0.001 C:\Python27\lib\site-packages\kivy\uix\widget.py:392(clear_widgets)
      409    0.006    0.000    0.062    0.000 C:\Python27\lib\site-packages\kivy\uix\layout.py:80(remove_widget)
     4704    0.046    0.000    0.061    0.000 <string>:31(<module>)
      101    0.003    0.000    0.060    0.001 C:\Python27\lib\site-packages\kivy\uix\relativelayout.py:239(on_touch_move)
    15709    0.060    0.000    0.060    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:526(get_right)
        1    0.005    0.005    0.059    0.059 C:\Python27\lib\site-packages\kivy\lib\osc\oscAPI.py:30(<module>)
    14850    0.054    0.000    0.054    0.000 {method 'keys' of 'dict' objects}
      527    0.034    0.000    0.053    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1767(unbind_widget)
     1757    0.023    0.000    0.053    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:204(__eq__)
        1    0.000    0.000    0.052    0.052 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:259(on_keyboard)
     2668    0.030    0.000    0.051    0.000 C:\Python27\lib\site-packages\kivy\lang.py:736(__getattribute__)
      310    0.011    0.000    0.051    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:81(_render_begin)
     2487    0.019    0.000    0.051    0.000 {method 'decode' of 'str' objects}
      149    0.004    0.000    0.051    0.000 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:364(_on_progress)
     4820    0.050    0.000    0.050    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_pen.py:78(_is_pen_message)
     2328    0.034    0.000    0.050    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\tripletap.py:74(process)
     2328    0.040    0.000    0.050    0.000 C:\Python27\lib\site-packages\kivy\clock.py:519(_release_references)
    17919    0.048    0.000    0.049    0.000 {method 'remove' of 'list' objects}
      358    0.008    0.000    0.047    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:398(apply_transform_2d)
       61    0.001    0.000    0.047    0.001 C:\Users\Divine\Documents\GitHub\3dl\listitems.py:131(__init__)
       61    0.003    0.000    0.047    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:193(__init__)
      157    0.030    0.000    0.046    0.000 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:491(on_progress)
      409    0.015    0.000    0.044    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:373(remove_widget)
     2126    0.044    0.000    0.044    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:526(fontid)
    18034    0.042    0.000    0.042    0.000 {method 'is_dead' of 'kivy.weakmethod.WeakMethod' objects}
    13218    0.042    0.000    0.042    0.000 C:\Python27\lib\collections.py:73(__iter__)
      310    0.040    0.000    0.040    0.000 {method 'fill' of 'pygame.Surface' objects}
        1    0.000    0.000    0.040    0.040 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:182(close)
        1    0.039    0.039    0.039    0.039 {pygame.display.quit}
     2952    0.039    0.000    0.039    0.000 <string>:86(<module>)
     2328    0.028    0.000    0.039    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\doubletap.py:69(process)
      310    0.034    0.000    0.038    0.000 {method 'blit_data' of 'kivy.graphics.texture.Texture' objects}
    13394    0.038    0.000    0.038    0.000 {method 'get' of 'dict' objects}
    13837    0.038    0.000    0.038    0.000 {max}
       61    0.001    0.000    0.038    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:377(__init__)
 2964/630    0.029    0.000    0.037    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:430(to_widget)
       61    0.005    0.000    0.037    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:280(__init__)
     1348    0.036    0.000    0.036    0.000 {method 'blit' of 'pygame.Surface' objects}
      358    0.018    0.000    0.036    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:391(pop)
     1378    0.023    0.000    0.035    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:56(_get_vbar)
       30    0.001    0.000    0.034    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:669(on_touch_up)
   712/38    0.009    0.000    0.033    0.001 C:\Python27\lib\site-packages\kivy\uix\widget.py:298(on_touch_up)
     1054    0.010    0.000    0.032    0.000 C:\Python27\lib\re.py:164(split)
     2487    0.014    0.000    0.032    0.000 C:\Python27\lib\encodings\utf_8.py:15(decode)
       30    0.001    0.000    0.032    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:651(on_touch_down)
       30    0.000    0.000    0.032    0.001 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:1003(on_touch_up)
       61    0.001    0.000    0.031    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:578(__init__)
       27    0.000    0.000    0.031    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1409(_refresh_text_from_property)
       22    0.001    0.000    0.030    0.001 C:\Python27\lib\site-packages\kivy\uix\relativelayout.py:247(on_touch_up)
      631    0.023    0.000    0.030    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:19(_get_min)
       27    0.007    0.000    0.030    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1412(_refresh_text)
      310    0.022    0.000    0.030    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:96(_render_end)
   274/30    0.004    0.000    0.029    0.001 C:\Python27\lib\site-packages\kivy\uix\widget.py:269(on_touch_down)
       30    0.001    0.000    0.029    0.001 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:993(on_touch_down)
      358    0.016    0.000    0.028    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:383(push)
        3    0.000    0.000    0.028    0.009 C:\Python27\lib\logging\__init__.py:1128(debug)
     2328    0.022    0.000    0.027    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_pen.py:129(update)
      328    0.005    0.000    0.027    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:407(on_touch_move)
      694    0.012    0.000    0.027    0.000 C:\Python27\lib\site-packages\kivy\clock.py:455(create_trigger)
     1306    0.027    0.000    0.027    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:98(<module>)
       25    0.001    0.000    0.027    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:106(on_touch_down)
       25    0.001    0.000    0.026    0.001 C:\Python27\lib\site-packages\kivy\uix\relativelayout.py:231(on_touch_down)
     1793    0.024    0.000    0.026    0.000 C:\Python27\lib\site-packages\kivy\lang.py:928(create_missing)
      102    0.003    0.000    0.026    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:567(set_center_y)
     6269    0.025    0.000    0.025    0.000 {time.clock}
      450    0.016    0.000    0.024    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:100(__init__)
      881    0.019    0.000    0.024    0.000 {method 'unbind' of 'kivy._event.EventDispatcher' objects}
     1708    0.022    0.000    0.022    0.000 <string>:8(<module>)
     2328    0.016    0.000    0.022    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\ignorelist.py:36(process)
        5    0.000    0.000    0.021    0.004 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1388(_refresh_line_options)
       43    0.001    0.000    0.021    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:139(on_touch_up)
     1306    0.021    0.000    0.021    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:104(<module>)
      424    0.006    0.000    0.020    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:312(on_touch_move)
        1    0.015    0.015    0.020    0.020 C:\Python27\lib\site-packages\kivy\input\postproc\__init__.py:5(<module>)
      866    0.020    0.000    0.020    0.000 {method 'ensure_window' of 'kivy._bases.EventLoopBase' objects}
      405    0.007    0.000    0.019    0.000 <string>:7(<module>)
       12    0.000    0.000    0.019    0.002 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:200(_trigger_press)
     2487    0.018    0.000    0.018    0.000 {_codecs.utf_8_decode}
7968/7964    0.018    0.000    0.018    0.000 {len}
       72    0.002    0.000    0.018    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:555(set_center_x)
       22    0.000    0.000    0.017    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1399(<lambda>)
     1430    0.011    0.000    0.017    0.000 <string>:135(<module>)
     4936    0.017    0.000    0.017    0.000 {time.time}
      943    0.010    0.000    0.016    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:219(collide_point)
     1055    0.009    0.000    0.016    0.000 C:\Python27\lib\re.py:226(_compile)
     1424    0.010    0.000    0.015    0.000 <string>:154(<module>)
     2415    0.015    0.000    0.015    0.000 {method 'get' of 'kivy.uix._factory.FactoryBase' objects}
      904    0.008    0.000    0.014    0.000 C:\Python27\lib\weakref.py:261(__setitem__)
     3114    0.014    0.000    0.014    0.000 {method 'join' of 'str' objects}
        8    0.002    0.000    0.014    0.002 C:\Python27\lib\site-packages\kivy\uix\boxlayout.py:113(do_layout)
     1766    0.009    0.000    0.014    0.000 C:\Python27\lib\weakref.py:131(__iter__)
      712    0.014    0.000    0.014    0.000 {kivy.graphics.texture.texture_create}
     1324    0.011    0.000    0.014    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:509(on_touch_move)
       25    0.001    0.000    0.013    0.001 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:98(on_touch_down)
     3941    0.013    0.000    0.013    0.000 {_ctypes.byref}
     1732    0.009    0.000    0.013    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:209(__hash__)
      634    0.013    0.000    0.013    0.000 <string>:103(<module>)
        2    0.000    0.000    0.013    0.006 C:\Python27\lib\site-packages\kivy\base.py:171(stopTouchApp)
       11    0.000    0.000    0.013    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:246(cancel)
     1268    0.012    0.000    0.012    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:171(resolve_font_name)
      104    0.004    0.000    0.012    0.000 C:\Python27\lib\site-packages\kivy\input\providers\mouse.py:171(on_mouse_motion)
       38    0.003    0.000    0.012    0.000 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1722(_create_line_label)
     4656    0.011    0.000    0.011    0.000 {method 'pop' of 'collections.deque' objects}
        8    0.000    0.000    0.011    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:684(cancel)
     2668    0.011    0.000    0.011    0.000 C:\Python27\lib\site-packages\kivy\lang.py:725(_ensure_app)
       11    0.000    0.000    0.011    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:554(cancel)
       11    0.000    0.000    0.010    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:187(cancel)
 1198/210    0.009    0.000    0.010    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:408(get_root_window)
        1    0.007    0.007    0.010    0.010 C:\Python27\lib\site-packages\kivy\input\providers\wm_touch.py:4(<module>)
      883    0.005    0.000    0.010    0.000 C:\Python27\lib\UserDict.py:39(keys)
       11    0.002    0.000    0.009    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1939(_refresh_hint_text)
     1852    0.009    0.000    0.009    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:13(_get_target_widget)
     1303    0.009    0.000    0.009    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_touch.py:223(_mouse_handler)
     2328    0.009    0.000    0.009    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\retaintouch.py:36(process)
      307    0.003    0.000    0.009    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:224(on_touch_up)
      669    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
     1054    0.008    0.000    0.008    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     1709    0.008    0.000    0.008    0.000 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:376(_get_system_size)
     2492    0.008    0.000    0.008    0.000 {method 'popleft' of 'collections.deque' objects}
     2328    0.008    0.000    0.008    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\dejitter.py:48(process)
      785    0.007    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\clock.py:232(__init__)
     2328    0.007    0.000    0.007    0.000 {pygame.display.get_active}
      439    0.007    0.000    0.007    0.000 {zip}
      210    0.005    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\context.py:72(pop)
      462    0.007    0.000    0.007    0.000 <string>:91(<module>)
      284    0.003    0.000    0.007    0.000 C:\Python27\lib\weakref.py:79(__setitem__)
       20    0.001    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:214(shorten)
      749    0.007    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\clock.py:283(release)
      374    0.007    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:349(scale_for_screen)
     2376    0.006    0.000    0.006    0.000 {method 'iterkeys' of 'dict' objects}
    76/75    0.003    0.000    0.006    0.000 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:282(on__sizes)
